0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:16 +0000] "GET /TestProject/faces/login.xhtml HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:16 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:32 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 200 5634
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:32 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:53 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 302 188
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:53 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:53 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:04 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:04 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:19 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:19 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:21 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:21 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:24 +0000] "POST /TestProject/faces/ViewStaff.xhtml HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:24 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:29 +0000] "POST /TestProject/faces/ViewStaff.xhtml HTTP/1.1" 200 6085
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:29 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:50 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:52 +0000] "POST /TestProject/faces/ViewStaff.xhtml HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:52 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:53 +0000] "POST /TestProject/faces/ViewStaff.xhtml HTTP/1.1" 302 182
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:53 +0000] "GET /TestProject/faces/register.xhtml HTTP/1.1" 200 6530
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:53 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:57 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:58 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:58 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:59 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:41:59 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:00 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 5685
